Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
OPAM,GAP,24,0.006712,0.006251,0.884114,0.577452,0.019231,0.040816,0.034182,0.038462,0.040816
OPAM,GAP,25,0.007141,0.005198,0.887601,0.288040,0.028846,0.061224,0.051691,0.057692,0.061224
OPAM,GAP,26,0.005946,0.004949,0.888433,0.381918,0.009615,0.020408,0.040673,0.019231,0.020408
OPAM,GAP,27,0.006734,0.006714,0.880284,0.502313,0.000000,0.000000,0.046252,0.000000,0.000000
OPAM,GAP,28,0.013640,0.012970,0.868804,0.414017,0.000000,0.000000,0.052979,0.000000,0.000000
OPAM,GAP,29,0.006027,0.004632,0.891419,0.492198,0.019231,0.040816,0.047106,0.038462,0.040816
OPAM,GAP,30,0.005480,0.003029,0.894619,0.460260,0.009615,0.020408,0.051385,0.019231,0.020408
OPAM,GAP,31,0.007983,0.005471,0.882393,0.482001,0.000000,0.000000,0.047406,0.000000,0.000000
OPAM,GAP,32,0.004172,0.004082,0.886479,0.504538,0.029412,0.061224,0.042741,0.076923,0.061224
OPAM,GAP,33,0.007596,0.005769,0.882887,0.290872,0.000000,0.000000,0.024651,0.000000,0.000000
OPAM,GAP,34,0.006071,0.005986,0.885600,0.307116,0.000000,0.000000,0.028414,0.000000,0.000000
OPAM,GAP,35,0.005809,0.005168,0.884027,0.347093,0.000000,0.000000,0.032156,0.000000,0.000000
OPAM,GAP,36,0.005897,0.004617,0.891429,0.283667,0.019608,0.040816,0.039829,0.057692,0.040816
OPAM,GAP,37,0.006475,0.005543,0.884334,0.350537,0.009615,0.020408,0.034996,0.019231,0.020408
OPAM,GAP,38,0.008092,0.005299,0.885463,0.389338,0.000000,0.000000,0.045056,0.000000,0.000000
OPAM,GAP,39,0.011167,0.009279,0.874614,0.215905,0.009615,0.020408,0.056228,0.019231,0.020408
OPAM,GAP,40,0.006862,0.006153,0.889317,0.316233,0.019231,0.040816,0.030976,0.038462,0.040816
OPAM,GAP,41,0.005737,0.003007,0.886489,0.409291,0.019231,0.040816,0.018042,0.038462,0.040816
OPAM,GAP,42,0.008615,0.006710,0.879986,0.259866,0.000000,0.000000,0.056813,0.000000,0.000000
OPAM,GAP,43,0.006846,0.006567,0.885036,0.222156,0.009615,0.020408,0.023091,0.019231,0.020408
OPAM,GAP,44,0.009855,0.008508,0.888797,0.342429,0.009615,0.020408,0.029254,0.019231,0.020408
OPAM,GAP,45,0.006684,0.005833,0.888008,0.361510,0.009615,0.020408,0.043954,0.019231,0.020408
OPAM,GAP,46,0.010054,0.009087,0.872530,0.148290,0.000000,0.000000,0.057878,0.000000,0.000000
