Subject,Approach,Cycle,Run,GD,HV,Spread
GAP,COEVOL,1000,36,0.016421,0.886477,0.235827
GAP,COEVOL,1000,37,0.018724,0.886039,0.341636
GAP,COEVOL,1000,38,0.019119,0.886555,0.274335
GAP,COEVOL,1000,39,0.015105,0.889556,0.449022
GAP,COEVOL,1000,40,0.021951,0.891044,0.394154
GAP,COEVOL,1000,41,0.016922,0.892080,0.413229
GAP,COEVOL,1000,42,0.019298,0.884580,0.474874
GAP,COEVOL,1000,43,0.017521,0.893425,0.331454
GAP,COEVOL,1000,44,0.015676,0.894725,0.395138
GAP,COEVOL,1000,45,0.017250,0.887665,0.443820
GAP,COEVOL,1000,46,0.014787,0.890623,0.404273
GAP,COEVOL,1000,47,0.019274,0.892258,0.371398
GAP,COEVOL,1000,48,0.015924,0.890380,0.435749
GAP,COEVOL,1000,49,0.017085,0.894593,0.269956
GAP,COEVOL,1000,50,0.021814,0.879347,0.252081
HPSS,RS,1000,1,0.126492,0.522472,0.702515
HPSS,RS,1000,2,0.124650,0.455167,0.691308
HPSS,RS,1000,3,0.150945,0.494799,0.473018
HPSS,RS,1000,4,0.106490,0.584519,0.832206
HPSS,RS,1000,5,0.162521,0.473177,0.494200
HPSS,RS,1000,6,0.149636,0.432237,0.666242
HPSS,RS,1000,7,0.095229,0.496587,0.927153
HPSS,RS,1000,8,0.177321,0.486245,0.629517
HPSS,RS,1000,9,0.259576,0.474975,0.569652
HPSS,RS,1000,10,0.118173,0.496089,0.755100
HPSS,RS,1000,11,0.193849,0.492938,0.684417
HPSS,RS,1000,12,0.152591,0.493243,0.835152
HPSS,RS,1000,13,0.123335,0.461958,0.682545
HPSS,RS,1000,14,0.204289,0.461713,0.847615
HPSS,RS,1000,15,0.182327,0.480716,0.823999
HPSS,RS,1000,16,0.116175,0.474576,0.700000
HPSS,RS,1000,17,0.153115,0.474835,0.802062
HPSS,RS,1000,18,0.140487,0.495658,0.773146
HPSS,RS,1000,19,0.137067,0.443664,0.596824
HPSS,RS,1000,20,0.145275,0.476530,0.693864
HPSS,RS,1000,21,0.160034,0.461453,0.712006
HPSS,RS,1000,22,0.222779,0.547643,0.684585
HPSS,RS,1000,23,0.163089,0.520063,0.537908
HPSS,RS,1000,24,0.137204,0.451230,0.658178
HPSS,RS,1000,25,0.145550,0.457754,0.839190
HPSS,RS,1000,26,0.137421,0.481362,0.682634
HPSS,RS,1000,27,0.107970,0.442939,0.847878
HPSS,RS,1000,28,0.134106,0.472285,0.941108
HPSS,RS,1000,29,0.194657,0.492165,0.849363
HPSS,RS,1000,30,0.169506,0.491096,0.727641
HPSS,RS,1000,31,0.105866,0.516032,0.829908
HPSS,RS,1000,32,0.122898,0.515925,0.862506
HPSS,RS,1000,33,0.148064,0.464923,0.799167
HPSS,RS,1000,34,0.137184,0.466861,0.682333
HPSS,RS,1000,35,0.133227,0.477986,0.754915
HPSS,RS,1000,36,0.163221,0.457632,0.642959
HPSS,RS,1000,37,0.133380,0.445939,0.838558
HPSS,RS,1000,38,0.115517,0.499017,0.580600
HPSS,RS,1000,39,0.147980,0.499320,0.746083
HPSS,RS,1000,40,0.107692,0.457607,0.688503
HPSS,RS,1000,41,0.106395,0.511809,0.904036
HPSS,RS,1000,42,0.145873,0.455538,0.651913
HPSS,RS,1000,43,0.121434,0.530881,0.585223
HPSS,RS,1000,44,0.224472,0.524674,0.761676
HPSS,RS,1000,45,0.120939,0.496819,0.731630
HPSS,RS,1000,46,0.185260,0.529733,0.771899
HPSS,RS,1000,47,0.128588,0.470015,0.653640
HPSS,RS,1000,48,0.156238,0.490129,0.650421
HPSS,RS,1000,49,0.140766,0.452387,0.620410
HPSS,RS,1000,50,0.144869,0.502224,0.727875
HPSS,COEVOL,1000,1,0.012831,0.970674,0.558784
HPSS,COEVOL,1000,2,0.010708,0.978622,0.592203
HPSS,COEVOL,1000,3,0.010428,0.977168,0.360283
HPSS,COEVOL,1000,4,0.010784,0.976054,0.515487
HPSS,COEVOL,1000,5,0.014942,0.956802,0.392203
HPSS,COEVOL,1000,6,0.014473,0.963650,0.644385
HPSS,COEVOL,1000,7,0.009960,0.981101,0.453287
HPSS,COEVOL,1000,8,0.010351,0.978390,0.804519
HPSS,COEVOL,1000,9,0.009517,0.976328,0.900695
HPSS,COEVOL,1000,10,0.007715,0.972481,0.471402
HPSS,COEVOL,1000,11,0.010216,0.925112,0.620074
HPSS,COEVOL,1000,12,0.011434,0.973798,0.604566
HPSS,COEVOL,1000,13,0.014238,0.967502,0.599982
HPSS,COEVOL,1000,14,0.009707,0.972678,0.466872
HPSS,COEVOL,1000,15,0.014362,0.968929,0.711275
HPSS,COEVOL,1000,16,0.011642,0.967853,0.493207
HPSS,COEVOL,1000,17,0.011225,0.976617,0.697708
HPSS,COEVOL,1000,18,0.011310,0.972110,0.407931
